location,source,target
lobby/create_room|0|0|1|8|3,"At ALL LAST, if the 1st-ranked player has less points than this value, the game will extend into South/West Round",최종국에서 1위 플레이어가 이 값보다 점수가 적으면 경기는 남/서장으로 연장됩니다
lobby/create_room|0|0|1|9|1|0,Enable,활성화
lobby/create_room|0|0|1|9|2|0,Disable,비활성화
lobby/create_room|0|0|1|10|1|0,Disable,비활성화
lobby/create_room|0|0|1|10|2|0,Enable,활성화
lobby/create_room|0|0|1|11|1|0,No Red Five,적도라 없음
lobby/create_room|0|0|1|11|2|0,3 Red Five,적도라 3개
lobby/create_room|0|0|1|11|3|0,4 Red Five,적도라 4개
lobby/create_room|0|0|1|12|1|0,Enable,활성화
lobby/create_room|0|0|1|12|2|0,Disable,비활성화
lobby/create_room|0|0|1|13|1|0,1 Han,1판
lobby/create_room|0|0|1|13|2|0,2 Han,2판
lobby/create_room|0|0|1|13|3|0,4 Han,4판
lobby/create_room|0|0|1|14|1|0,Enable,활성화
lobby/create_room|0|0|1|14|2|0,Disable,비활성화
lobby/create_room|0|0|1|15|1|0,Off,끄기
lobby/create_room|0|0|1|15|2|0,On,켜기
lobby/create_room|0|0|1|16|1|0,Easy,쉬움
lobby/create_room|0|0|1|16|2|0,Normal,일반
lobby/create_room|0|0|1|17|1|0,Disable,비활성화
lobby/create_room|0|0|1|17|2|0,Enable,활성화
lobby/create_room|0|1|2,Create Room,방 만들기
lobby/diamond_less|0|2,Insufficient Jade,휘옥 부족
lobby/diamond_less|0|4|0,Buy,구매
lobby/diamond_less|0|5|0,Cancel,취소
lobby/diamond_less|0|6,Insufficient Jade ，Do you wish to Purchase ？,휘옥이 부족합니다. 구매하시겠습니까?
lobby/force_update|0|2,"New updates detected, please try to restart your game",새로운 업데이트가 있습니다. 게임을 다시 시작해주세요.
lobby/force_update|0|3|0,Confirm,확인
lobby/friend|0|1|0,Friends,친구
lobby/friend|1|1|0|0,Friend List,친구 목록
lobby/friend|1|1|1|0,Application,애플리케이션
lobby/friend|1|1|2|0,Search,검색
lobby/friend|1|2|1|0,Search,검색
lobby/friend|1|2|2|0|0|0|1|0,Add,추가
lobby/friend|1|2|2|0|0|0|5,Applied,신청됨
lobby/friend|1|2|2|0|0|1|1|0,Add,추가
lobby/friend|1|2|2|0|0|1|5,Applied,신청됨
lobby/friend|1|3|0|0|0|1|0,View,보기
lobby/friend|1|3|0|0|0|2|0,Delete,삭제
lobby/friend|1|3|0|0|0|8|0,Watch,관전
lobby/friend|1|3|1,Your Friend List is Empty,친구 목록 비어있음
lobby/friend|1|3|3,Friends:,친구:
lobby/friend|1|4|0|0|0|1|0,View,보기
lobby/friend|1|4|0|0|0|2|0,Accept,수락
lobby/friend|1|4|0|0|0|3|0,Reject,거절
lobby/friend|1|4|1,No friend application,친구 애플리케이션 없음
lobby/friend|1|5|0,My ID:,내 ID:
lobby/info|0|2,Info,정보
lobby/lobby|3|1|0|0|0|0|3,Novice & Adept,초심자 & 작사
lobby/lobby|3|1|0|0|1|0|3,Adept & Expert,작사 & 작걸
lobby/lobby|3|1|0|0|2|0|3,Expert & Master,작걸 & 작호
lobby/lobby|3|1|0|0|3|0|3,Master & Saint,작호 & 작성
lobby/lobby|3|1|0|0|4|0|3,Saint & Above,작성 & 혼천
lobby/lobby|3|2|0|0|3,Free,자유
lobby/lobby|3|2|0|1|3,Free,자유
lobby/lobby|3|4|0|0|0|2,Online:,온라인:
lobby/lobby|3|4|0|0|0|4|0,Reserved,예약됨
lobby/lobby|3|4|0|0|1|2,Online:,온라인:
lobby/lobby|3|4|0|0|1|4|0,Reserved,예약됨
lobby/lobby|3|4|0|0|2|2,Online:,온라인:
lobby/lobby|3|4|0|0|2|4|0,Reserved,예약됨
lobby/lobby|3|4|0|0|3|2,Online:,온라인:
lobby/lobby|3|4|0|0|3|4|0,Reserved,예약됨
lobby/lobby|5|3|0,Rank,순위
lobby/lobby|5|4|0,Info,정보
lobby/lobbychat|0|1|0|2|0|0,Send,보내기
lobby/match_lobby|0|0,Lobby,로비
lobby/match_lobby|1|0|1|0,Search,검색
lobby/match_lobby|1|0|2|0,Enter Tournament ID,대회 ID 입력
lobby/match_lobby|1|1|0,Followed only,팔로우 한정
lobby/match_lobby|1|3|0|2,Followed,팔로우함
lobby/match_lobby|1|3|0|5,Not started,시작되지 않음
lobby/match_lobby|1|3|0|5|0,Start time:,시작 일시:
lobby/match_lobby|1|3|0|7,In progress,진행중
lobby/match_lobby|1|3|0|7|0,End time:,종료 일시:
lobby/match_lobby|1|3|0|8,Ended,종료됨
lobby/match_lobby|1|3|0|8|0,End time:,종료 일시:
lobby/match_lobby|1|3|0|9|0|0,View,보기
lobby/match_lobby|1|4,No tournaments,대회 없음
lobby/match_lobby|1|7|0,My ID:,내 ID:
lobby/match_lobby|2|0|5|0,Close,닫기
lobby/match_lobby|2|0|6|0,Enter,입장
lobby/match_room|0|0,Tournament,대회
lobby/match_room|1|0|0|0,Home,홈
lobby/match_room|1|0|1|0,Log,로그
lobby/match_room|1|0|2|0,Watch,관전
lobby/match_room|1|1|0|0|0|2,GM message,GM 메시지
lobby/match_room|1|1|0|0|2|0|0,Send,전송
lobby/match_room|1|1|0|1|0,Chat,채팅
lobby/match_room|1|1|0|2|0,Notice,공지
lobby/match_room|1|1|1|1,Time,일시
lobby/match_room|1|1|1|2,Start time:,시작 일시:
lobby/match_room|1|1|1|3,End time:,종료 일시:
lobby/match_room|1|1|1|4,Rules,규칙
lobby/match_room|1|1|1|5,My Ranking,내 순위
lobby/match_room|1|1|1|8,Last 5 Matches Ranks:,최근 5경기:
lobby/match_room|1|1|1|9,Matches Played:,플레이한 경기:
lobby/match_room|1|1|1|10|0,Prepare for match,경기 준비
lobby/match_room|1|1|1|11,Online:,온라인:
lobby/match_room|1|1|1|13|0|0,Details,상세
lobby/match_room|1|1|3|0,Set as Focus,포커스 지정
lobby/match_room|1|3|1|0|1|4,Rank,순위
lobby/match_room|1|3|1|0|2|4,Rank,순위
lobby/match_room|1|3|1|0|3|4,Rank,순위
lobby/match_room|1|3|1|0|4|4,Rank,순위
lobby/match_room|1|3|1|0|6,Match Time,경기 일시
lobby/match_room|1|3|1|0|7|0,View,보기
lobby/match_room|1|3|1|0|8|0,Share,공유
lobby/match_room|1|3|2|0,Other Logs,기타 로그
lobby/match_room|2|0|3,Rule Details,상세 규칙
lobby/match_room|2|0|4|0,Close,닫기
lobby/match_room|2|1|3,Rule Details,상세 규칙
lobby/match_room|2|1|4|0,Close,닫기
lobby/match_room|3|0|2,Enter Log Number,로그 번호 입력
lobby/match_room|3|0|3|0,Confirm,확인
lobby/match_room|3|0|6|1,Anonymously Share,익명 공유
lobby/match_room|4|0|2,Criteria not met,기준 미달
lobby/match_room|4|0|3,You are not eligible to participate in this tournament. Unable to start match,이 대회에 참가할 자격이 없습니다. 경기를 시작할 수 없습니다.
lobby/match_room|4|0|4|0,Close,닫기
lobby/nickname|0|2,Name Your Character,캐릭터 이름
lobby/nickname|0|4,Name (1-14 chars),이름 (1-14자)
lobby/nickname|0|6,Available,사용가능
lobby/nickname|0|7,Unavailable,사용불가
lobby/nickname|0|8|1,Confirm,확인
lobby/nickname|0|9,Cannot contain empty spaces and special characters,공백 및 특수문자 사용 불가
lobby/nickname|0|10|1,Exit,나가기
lobby/nickname|1|2,Tutorials,튜토리얼
lobby/nickname|1|3,Welcome to Mahjong Soul!,작혼에 오신 것을 환영합니다!
lobby/nickname|1|4,Name,이름
lobby/nickname|1|5,Do you want to start a tutorial of Riichi Mahjong?,리치 마작 튜토리얼을 시작할까요?
lobby/nickname|1|7|0|0,No,아니오
lobby/nickname|1|8|0|0,Yes,예
lobby/number_input|0|2,Join Room #,참가할 방 번호
lobby/number_input|0|3|0,Confirm,확인
lobby/number_input|0|6|9|1,Clear,삭제
lobby/ob|0|0,No game info,게임 정보 없음
lobby/ob|0|6|0,Show friends only,친구만 보기
lobby/ob|0|7|1,Refresh,새로고침
lobby/ob|1|0,Watch,관전
lobby/openbox|1|3,Choose one gift,선물 하나를 선택하세요
lobby/openbox|1|5|0,Confirm,확인
lobby/page_sign_chs|1|1|1,Confirm,확인
lobby/page_sign_chs|1|2|1,Sign-in,로그인
lobby/page_sign_en|1|1|1,Confirm,확인
lobby/page_sign_en|1|2|1,Sign-in,로그인
lobby/page_sign_jp|1|1|1,Confirm,확인
lobby/page_sign_jp|1|2|1,Sign-in,로그인
lobby/paipu|0|1|0,Log,로그
lobby/paipu|1|4|0|1|4,Rank,순위
lobby/paipu|1|4|0|2|4,Rank,순위
lobby/paipu|1|4|0|3|4,Rank,순위
lobby/paipu|1|4|0|4|4,Rank,순위
lobby/paipu|1|4|0|7|0,View,보기
lobby/paipu|1|4|0|8|0,Share,공유
lobby/paipu|1|5|0,Other Logs,다른 로그
lobby/paipu|1|6,Collection Limit:,컬렉션 제한:
lobby/paipu|1|7|0|1,Overview,요약
lobby/paipu|1|7|1|1,Match,경기
lobby/paipu|1|7|2|1,Friends,친구
lobby/paipu|1|7|3|1,Tournament,대회
lobby/paipu|1|7|4|1,Collection,컬렉션
lobby/paipu|1|8,No record,기록 없음
lobby/paipu|2|2,Enter Log Number,로그 번호 입력
lobby/paipu|2|3|0,Confirm,확인
lobby/paipu|2|6|1,Anonymously Share,익명 공유
lobby/paipu|3|1|2,Log Collection,로그 컬렉션
lobby/paipu|3|1|3|0,Collect,컬렉션에 추가
lobby/paipu|3|1|5,Remarks are too long,메모가 너무 깁니다
lobby/pifuquan_less|0|2,Insufficient Outfit Voucher,의상 교환권 부족
lobby/pifuquan_less|0|4|0,Buy,구매
lobby/pifuquan_less|0|5|0,Cancel,취소
lobby/pifuquan_less|0|6,Insufficient Outfit Voucher，Do you wish to Purchase ？,의상 교환권이 부족합니다. 구매하시겠습니까?
lobby/pipei|0|2,Ranked Match,단위전
lobby/pipei|0|3,Finding opponents,다른 플레이어를 찾는 중
lobby/pipei|0|4|0,Cancel,취소
lobby/pipeichenggong|1|2,Match is ready,경기 준비됨
lobby/pipeiyuyue|0|1,Matchmaking,경기 찾는 중
lobby/playerinfo|1|1|0,4-Player,4인
lobby/playerinfo|1|2|0,3-Player,3인
lobby/playerinfo|1|3|0,Message,메시지
lobby/playerinfo|1|4|1,Empty,비어있음
lobby/playerinfo|1|4|2|0|8|1|0,Info,정보
lobby/playerinfo|1|4|5|3,No signature yet,서명 없음
lobby/playerinfo|1|4|5|4,Signature,서명
lobby/playerinfo|1|5|2|1,Title Book,타이틀북
lobby/playerinfo|1|5|3|1,Change Name,이름 변경
lobby/playerinfo|1|5|6|1|0,Friendly Match,친선전
lobby/playerinfo|1|5|6|2|0,Ranked Match,단위전
lobby/playerinfo|1|5|7|1|0|0|0,Recent High Score,최근 고득점
lobby/playerinfo|1|5|7|1|0|3,No record available. Good luck!,기록이 없습니다. 행운을 빌어요!
lobby/playerinfo|1|5|7|1|1|0,ATK,공격
lobby/playerinfo|1|5|7|1|1|2,DEF,수비
lobby/playerinfo|1|5|7|1|1|4,SPD,속도
lobby/playerinfo|1|5|7|1|1|6,LUK,행운
lobby/playerinfo|1|5|7|1|1|8|0,ATK,공격
lobby/playerinfo|1|5|7|1|1|8|1,DEF,수비
lobby/playerinfo|1|5|7|1|1|8|2,SPD,속도
lobby/playerinfo|1|5|7|1|1|8|3,LUK,행운
lobby/playerinfo|1|5|7|1|1|9|0,Play Style,플레이 경향
lobby/playerinfo|1|5|7|1|2|6|0,Rank,순위
lobby/playerinfo|1|5|7|1|2|7|0,Rank,순위
lobby/playerinfo|1|5|7|1|2|8|0,Rank,순위
lobby/playerinfo|1|5|7|1|2|9|0,Rank,순위
lobby/playerinfo|1|5|7|1|2|10|0,Trends,트렌드
lobby/playerinfo|1|5|7|1|3|0|0,Detailed Info,상세 정보
lobby/playerinfo|1|5|7|1|4|0|2,East Round,동풍전
lobby/playerinfo|1|5|7|1|4|1|0,1st,1위
lobby/playerinfo|1|5|7|1|4|1|2,2nd,2위
lobby/playerinfo|1|5|7|1|4|1|4,3rd,3위
lobby/playerinfo|1|5|7|1|4|1|6|0,4th,4위
lobby/playerinfo|1|5|7|1|4|1|7|0,Negative,들통
lobby/playerinfo|1|5|7|1|4|1|8,Total Played,총 플레이 횟수
lobby/playerinfo|1|5|7|1|4|1|10,Avg Score,평균 점수
lobby/playerinfo|1|5|7|1|4|1|12,Avg Rank,평균 순위
lobby/playerinfo|1|5|7|1|4|1|14,Max Repeats,최대 연장
lobby/playerinfo|1|5|7|1|4|1|16,Avg Turns,평균 화료순
lobby/playerinfo|1|5|7|1|4|1|18,Win Rate,화료율
lobby/playerinfo|1|5|7|1|4|1|20,Tsumo Rate,쯔모율
lobby/playerinfo|1|5|7|1|4|1|22,Deal-in Rate,방총률
lobby/playerinfo|1|5|7|1|4|1|24,Call Rate,후로율
lobby/playerinfo|1|5|7|1|4|1|26,Riichi Rate,리치율
lobby/playerinfo|1|5|7|1|5|0|2,South Round,반장전
lobby/playerinfo|1|5|7|1|5|1|0,1st,1위
lobby/playerinfo|1|5|7|1|5|1|2,2nd,2위
lobby/playerinfo|1|5|7|1|5|1|4,3rd,3위
lobby/playerinfo|1|5|7|1|5|1|6|0,4th,4위
lobby/playerinfo|1|5|7|1|5|1|7|0,Negative,들통
lobby/playerinfo|1|5|7|1|5|1|8,Total Played,총 플레이 횟수
lobby/playerinfo|1|5|7|1|5|1|10,Avg Score,평균 점수
lobby/playerinfo|1|5|7|1|5|1|12,Avg Rank,평균 순위
lobby/playerinfo|1|5|7|1|5|1|14,Max Repeats,최대 연장
lobby/playerinfo|1|5|7|1|5|1|16,Avg Turns,평균 화료순
lobby/playerinfo|1|5|7|1|5|1|18,Win Rate,화료율
lobby/playerinfo|1|5|7|1|5|1|20,Tsumo Rate,쯔모율
lobby/playerinfo|1|5|7|1|5|1|22,Deal-in Rate,방총률
lobby/playerinfo|1|5|7|1|5|1|24,Call Rate,후로율
lobby/playerinfo|1|5|7|1|5|1|26,Riichi Rate,리치율
lobby/playerinfo|1|5|7|1|6|0|2,Yaku Achieved,달성한 역
lobby/playerinfo|1|5|7|1|7|0|2,Local Yaku Achieved,달성한 로컬역
lobby/playerinfo_en|1|1|0,4-Player,4인
lobby/playerinfo_en|1|2|0,3-Player,3인
lobby/playerinfo_en|1|3|0,Message,메시지
lobby/playerinfo_en|1|4|1,Empty,비어있음
lobby/playerinfo_en|1|4|2|0|8|1|0,Info,정보
lobby/playerinfo_en|1|4|5|3,No signature yet,서명 없음
lobby/playerinfo_en|1|4|5|4,Signature,서명
lobby/playerinfo_en|1|5|2|1,Title Book,타이틀북
lobby/playerinfo_en|1|5|3|1,Change Name,이름 변경
lobby/playerinfo_en|1|5|6|1|0,Friendly Match,친선전
lobby/playerinfo_en|1|5|6|2|0,Ranked Match,단위전
lobby/playerinfo_en|1|5|7|1|0|0|0,Recent High Score,최근 고득점
lobby/playerinfo_en|1|5|7|1|0|3,No record available. Good luck!,기록이 없습니다. 행운을 빌어요!
lobby/playerinfo_en|1|5|7|1|1|0,ATK,공격
lobby/playerinfo_en|1|5|7|1|1|2,DEF,수비
lobby/playerinfo_en|1|5|7|1|1|4,SPD,속도
lobby/playerinfo_en|1|5|7|1|1|6,LUK,행운
lobby/playerinfo_en|1|5|7|1|1|8|0,ATK,공격
lobby/playerinfo_en|1|5|7|1|1|8|1,DEF,수비
lobby/playerinfo_en|1|5|7|1|1|8|2,SPD,속도
lobby/playerinfo_en|1|5|7|1|1|8|3,LUK,행운
lobby/playerinfo_en|1|5|7|1|1|9|0,Play Style,플레이 경향
lobby/playerinfo_en|1|5|7|1|2|6|0,Rank,순위
lobby/playerinfo_en|1|5|7|1|2|7|0,Rank,순위
lobby/playerinfo_en|1|5|7|1|2|8|0,Rank,순위
lobby/playerinfo_en|1|5|7|1|2|9|0,Rank,순위
lobby/playerinfo_en|1|5|7|1|2|10|0,Trends,트렌드
lobby/playerinfo_en|1|5|7|1|3|0|0,Detailed Info,상세 정보
lobby/playerinfo_en|1|5|7|1|4|0|2,East Round,동풍전
lobby/playerinfo_en|1|5|7|1|4|1|0,1st,1위
lobby/playerinfo_en|1|5|7|1|4|1|2,2nd,2위
lobby/playerinfo_en|1|5|7|1|4|1|4,3rd,3위
lobby/playerinfo_en|1|5|7|1|4|1|6|0,4th,4위
lobby/playerinfo_en|1|5|7|1|4|1|7|0,Negative,들통
lobby/playerinfo_en|1|5|7|1|4|1|8,Total Played,총 플레이 횟수
lobby/playerinfo_en|1|5|7|1|4|1|10,Avg Score,평균 점수
lobby/playerinfo_en|1|5|7|1|4|1|12,Avg Rank,평균 순위
lobby/playerinfo_en|1|5|7|1|4|1|14,Max Repeats,최대 연장
lobby/playerinfo_en|1|5|7|1|4|1|16,Avg Turns,평균 화료순
lobby/playerinfo_en|1|5|7|1|4|1|18,Win Rate,화료율
lobby/playerinfo_en|1|5|7|1|4|1|20,Tsumo Rate,쯔모율
lobby/playerinfo_en|1|5|7|1|4|1|22,Deal-in Rate,방총률
lobby/playerinfo_en|1|5|7|1|4|1|24,Call Rate,후로율
lobby/playerinfo_en|1|5|7|1|4|1|26,Riichi Rate,리치율
lobby/playerinfo_en|1|5|7|1|5|0|2,South Round,반장전
lobby/playerinfo_en|1|5|7|1|5|1|0,1st,1위
lobby/playerinfo_en|1|5|7|1|5|1|2,2nd,2위
lobby/playerinfo_en|1|5|7|1|5|1|4,3rd,3위
lobby/playerinfo_en|1|5|7|1|5|1|6|0,4th,4위
lobby/playerinfo_en|1|5|7|1|5|1|7|0,Negative,들통
lobby/playerinfo_en|1|5|7|1|5|1|8,Total Played,총 플레이 횟수
lobby/playerinfo_en|1|5|7|1|5|1|10,Avg Score,평균 점수
lobby/playerinfo_en|1|5|7|1|5|1|12,Avg Rank,평균 순위
lobby/playerinfo_en|1|5|7|1|5|1|14,Max Repeats,최대 연장
lobby/playerinfo_en|1|5|7|1|5|1|16,Avg Turns,평균 화료순
lobby/playerinfo_en|1|5|7|1|5|1|18,Win Rate,화료율
lobby/playerinfo_en|1|5|7|1|5|1|20,Tsumo Rate,쯔모율
lobby/playerinfo_en|1|5|7|1|5|1|22,Deal-in Rate,방총률
lobby/playerinfo_en|1|5|7|1|5|1|24,Call Rate,후로율
lobby/playerinfo_en|1|5|7|1|5|1|26,Riichi Rate,리치율
lobby/playerinfo_en|1|5|7|1|6|0|2,Yaku Achieved,달성한 역
lobby/playerinfo_en|1|5|7|1|7|0|2,Local Yaku Achieved,달성한 로컬역
lobby/pop_buy_multi|0|6|0,Buy,구매
lobby/pop_buy_multi|0|7|0,Price,가격
lobby/pop_buy_multi|0|8|0,Remaining,잔여
lobby/pop_buy_multi|0|9,Refreshes once every month,매달 한번 갱신됩니다
lobby/pop_buy_multi|0|10|0,Total Price,총 가격
lobby/pop_buy_single|0|6|0,Buy,구매
lobby/pop_buy_single|0|7|0,Total Price,총 가격
lobby/rank|0|2|0|0|4,pt,pt
lobby/rank|0|4|1|7,pt,pt
lobby/rank|0|5|0|0,4-Player,4인
lobby/rank|0|5|1|0,3-Player,3인
lobby/recharge|0|0,Shop,상점
lobby/recharge|1|0|0|0,Misc,잡화
lobby/recharge|1|0|1|0,Wishing,기도의 소옥
lobby/recharge|1|0|2|0,Star,별의 소옥
lobby/recharge|1|0|3|0,Summon Shop,기원 상점
lobby/recharge|1|0|4|0,Summon,기원
lobby/recharge|1|2|0|1,Title,타이틀
lobby/recharge|1|2|6|0,Current,현재
lobby/recharge|1|2|8|0,Claim,받기
lobby/recharge|1|2|9|0|1,Rewards,보상
lobby/recharge|2|0|6|0,Buy,구매
lobby/recharge|2|0|7|0,Total Price,총 가격
lobby/shop|0|0|0|0,Outfit,의상
lobby/shop|0|0|1|0,Fortune,소원
lobby/shop|0|0|2|0,Star,별
lobby/shop|0|0|3|0,Wishing,기도
lobby/shop|0|0|4|0,Misc,잡화
lobby/shop|0|1|1|0|0,Refresh,새로고침
lobby/shop|0|1|1|0|1|0,Refresh,새로고침
lobby/shop|0|1|1|2,Can`t refresh anymore today,오늘은 더 이상 새로고침 할 수 없습니다
lobby/shop|0|1|2|0,Duplicate characters will be converted into Wishing Stones,중복된 캐릭터는 기도의 돌로 전환됩니다
lobby/shop|0|1|3|2,Duplicate decorations will be converted into Star Stones,중복된 장식은 별의 소옥으로 전환됩니다
lobby/shop|0|1|4|1,Star Dust can be acquired by donating Gifts,별가루는 선물을 기부하여 얻을 수 있습니다
lobby/shop|0|2|0|0|6|2|0,Purchase,구매
lobby/shop|0|2|3,Sold Out,매진
lobby/shop|1|0,Shop,상점
lobby/shop_lobby_yulan|1|2|2|0,Buy,구매
lobby/shop_pack_detail|0|5|0,Original Price:,기존 가격:
lobby/shop_pack_detail|0|6|0,Discount Rate:,할인율:
lobby/shop_pack_detail|0|7|0,Final Price:,최종 가격:
lobby/shop_pack_detail|0|8|0,Buy,구매
lobby/shop_pack_detail|0|9,Items contained in this pack,이 팩에 포함된 아이템
lobby/shop_skin_yulan|2|0|2|0,Buy,구매
lobby/sign|1|2,Daily Prayer,일간 기도
lobby/sign|1|3|4|0,Day,일
lobby/sign|1|3|4|1,Day,일
lobby/sign|1|4|4|0,Day,일
lobby/sign|1|4|4|1,Day,일
lobby/sign|1|5|0,Claim,받기
lobby/sign|1|5|2,Claimed,받음
lobby/sushe_select|0|1|0|0,Character,캐릭터
lobby/sushe_select|0|1|1|0,Decoration,장식
lobby/sushe_select|0|4|0|2|0,In Use,사용중
lobby/sushe_select|0|4|0|3|0|0,Use,사용하기
lobby/sushe_select|0|4|0|4|0|0,Save,저장
lobby/sushe_select|0|4|1|6|0,Empty,비어있음
lobby/sushe_select|0|4|4|5|0,Empty,비어있음
lobby/sushe_select|1|0,Dorm,숙소
lobby/sushe_select_en|0|1|0|0,Character,캐릭터
lobby/sushe_select_en|0|1|1|0,Decoration,장식
lobby/sushe_select_en|0|4|0|2|0,In Use,사용중
lobby/sushe_select_en|0|4|0|3|0|0,Use,사용하기
lobby/sushe_select_en|0|4|0|4|0|0,Save,저장
lobby/sushe_select_en|0|4|1|6|0,Empty,비어있음
lobby/sushe_select_en|0|4|4|5|0,Empty,비어있음
lobby/sushe_select_en|1|0,Dorm,숙소
lobby/tangfang1|6|3|0,Confirm,확인
lobby/titlebook|1|2,Title Book,타이틀북
lobby/titlebook|1|3,Available,사용가능
lobby/titlebook|1|6,Your Title Book is empty.,타이틀북이 비어있습니다.
lobby/treasure|0|0|0,Summon 10 Times,10회 기원
lobby/treasure|0|0|1,Get,받기
lobby/treasure|0|0|3,"Chance to get characters, decorations or gifts","캐릭터, 장식, 선물을 받을 수 있음"
lobby/treasure|0|0|5|0,Summon 10 Times,10회 기원
lobby/treasure|0|1|0,Summon Once,1회 기원
lobby/treasure|0|1|1,Get,받기
lobby/treasure|0|1|3,"Chance to get characters, decorations or gifts","캐릭터, 장식, 선물을 받을 수 있음"
lobby/treasure|0|1|5|0,Summon Once,1회 기원
lobby/treasure|0|5|0,Overview,요약
lobby/treasure|0|6|2|0,Redeem,교환
lobby/treasure|1|0,Summon,기원 
lobby/treasure|3|4,Select the character/item you would like to redeem,교환할 캐릭터/아이템을 선택하세요
lobby/treasure|4|2|2|2|0,"Each time you summon, you can get 1",당신은 1번 기원할 때 마다 1개의 신앙(
lobby/treasure|4|2|2|2|1,"(Faith), as well as all-new characters and decorations",)과 새로운 캐릭터와 장식을 얻을 수 있습니다.
lobby/treasure|4|2|2|2|2,Chance to get characters: 5%,캐릭터 획득 확률: 5%
lobby/treasure|4|2|2|2|2|0,Duplicate characters will be converted to Wishing Stones,중복된 캐릭터는 기도의 소옥으로 전환됩니다
lobby/treasure|4|2|2|2|3,Chance to get decorations: 15%,장식 획득 확률: 15%
lobby/treasure|4|2|2|2|3|0,Duplicate decorations will be converted into Star Stones,중복된 장식은 별의 소옥으로 전환됩니다
lobby/treasure|4|2|2|2|4,Chance to get green gift/blue gift/purple gift:  24%/51%/5%,초록색/파란색/보라색 선물 획득 확률:  24%/51%/5%
lobby/treasure|4|2|2|2|5,You will get at least 1 purple gift when you perform a 10-summon using Jade.,휘옥을 사용하여 10회 기원을 할 경우 최소 1개의 보라색 선물을 획득합니다.
lobby/treasure|4|2|2|3|0,"Each time you summon, you can get 1",당신은 1번 기원할 때 마다 1개의 신앙(
lobby/treasure|4|2|2|3|1,"(Faith), as well as all-new characters and decorations",)과 새로운 캐릭터와 장식을 얻을 수 있습니다.
lobby/treasure|4|2|2|3|2,Chance to get characters: 5%,캐릭터 획득 확률: 5%
lobby/treasure|4|2|2|3|2|0,Duplicate characters will be converted to Wishing Stones,중복된 캐릭터는 기도의 돌로 전환됩니다
lobby/treasure|4|2|2|3|3,Chance to summon new characters: 2.95%,새 캐릭터 획득 확률: 2.95%
lobby/treasure|4|2|2|3|4,Chance to get decorations: 15%,장식 획득 확률: 15%
lobby/treasure|4|2|2|3|4|0,Duplicate decorations will be converted into Star Stones,중복된 장식은 별의 돌로 전환됩니다
lobby/treasure|4|2|2|3|5,Chance to get new effects: 7.35%,새 효과를 획득할 확률: 7.35%
lobby/treasure|4|2|2|3|6,Chance to get green gift/blue gift/purple gift:  24%/51%/5%,초록색/파란색/보라색 선물 획득 확률:  24%/51%/5%
lobby/treasure|4|2|2|3|7,New characters and effects are limited-time Rate Up,제한 기간까지 새 캐릭터와 효과 획득 확률 상승
lobby/treasure|4|2|2|3|8,You will get at least 1 purple gift when you perform a 10-summon using Jade.,휘옥을 사용하여 10회 기원을 할 경우 최소 1개의 보라색 선물을 획득합니다.
lobby/treasure|4|3|1|2|0|0|0,Character Info,캐릭터 정보
lobby/treasure|4|3|1|2|0|1|0,Height:,신장:
lobby/treasure|4|3|1|2|0|1|2,Birthday:,생일:
lobby/treasure|4|3|1|2|0|1|4,Age:,나이:
lobby/treasure|4|3|1|2|0|1|6,Blood Type:,혈액형:
lobby/treasure|4|3|1|2|0|1|8,CV:,CV:
lobby/treasure|4|3|1|2|0|1|10,Hobby:,취미:
lobby/treasure|4|3|1|2|0|1|12,Biography:,약력:
lobby/treasure|4|3|1|2|0|2|0|0,Voice,음성
lobby/treasure|4|3|1|2|0|2|1|0,Sample 1,샘플 1
lobby/treasure|4|3|1|2|0|2|2|0,Sample 2,샘플 2
lobby/treasure|4|3|1|2|0|2|3|0,Sample 3,샘플 3
lobby/treasure|5|0|2,Insufficient Summon Stones,기원의 돌 부족
lobby/treasure|5|0|11|0,Confirm,확인
lobby/treasure|5|0|12|0,Cancel,취소
lobby/treasure|5|0|13,Do you wish to spend,사용하시겠습니까
lobby/treasure|5|0|14,Jade,휘옥
